Product,Category,Ingredients
HAPPY Tooth Powder Unflavored with Xylitol Rating,Toothpaste,hydroxyapatite  xylitol  sodium bicarbonate  calcium carbonate  calcium lactate  calcium silicate
BOTAO Baby Strawberry Flavored Toothpaste Rating,Baby Toothpaste,Xylitol  Aqua  Glycerin  Silica  Xanthan Gum  Sodium Benzoate  Potassium Sorbate  Citric acid  Chamomilla Recutita (Matricaria) Flower Extract  Calendula Officinalis Flower Extract  Aloe barbadensis leaf juice  Fragaria Chiloensis (Strawberry) Fruit Extract
"Everyone Hand Sanitizer Wipes, Lavender Aloe Rating",Hand Sanitizer,Active Ingredients: Ethanol 62%  Inactive Ingredients: Water  Lavandula Angustifolia (Lavender) Oil  **Aloe Barbadensis Leaf Juice  **Matricaria Recutita (Chamomile) Flower Extract  **Calendula Officinalis Flower Extract  **Camellia Sinensis (WhiteTea) Leaf Extract  Glycerin.
"ATTITUDE Super Leaves Hand Soap, White Tea Leaves Rating",Liquid Hand Soap,Aqua / water / eau  sodium coco-sulfate  sodium chloride  coco-glucoside  vegetable glycerin  decyl glucoside  glyceryl oleate  citric acid  nasturtium officinale (watercress / cresson) extract  tropaeolum magus (indian cress / capucine) extract  maltodextrin  moringa oleifera seed extract  camellia sinensis (white tea / th̩ blanc) leaf extract  sodium benzoate  potassium sorbate  methyldihydrojasmonate (jasmin)  hexyl salicylate (floral)  pentadecalactone (fruit).
"Davids Sensitive+Whitening Hydroxyapatite Toothpaste, Natural Peppermint",Toothpaste,calcium carbonate  vegetable glycerin  purified water  sodium bicarbonate  xylitol  hydrated silica  hydroxyapatite  sodium cocoyl glutamate  carrageenan  mentha piperita (peppermint) oil  mentha viridis (spearmint) leaf oil  pimpinella anisum (anise) seed extract  gaultheria procumbens (wintergreen) leaf oil  stevia
"Organic Bath Co. Hand Sanitizer, PeaceFull Rating",Hand Sanitizer,Active Ingredient: Ethyl Alcohol 63%  Inactive Ingredients: Purified Water USP  Glycerin  Organic Lavandula Angustifolia (Lavender) Oil
"purelygreat Charcoal Deodorant, Lavender Rating",Antiperspirant/Deodorant,Sodium bicarbonate (51%)  Zea Mays(corn) starch (12%)  Glycerin (36%)  lavendula angustifolia oil  coriandrum sativum oil  citrus paradisi oil  citrus sinensis oil  cupressus sempervirens oil  pelargonium graveolens oil  Charcoal Powder (<1%)
"ATTITUDE Hand Soap, Orange Cinnamon Rating",Liquid Hand Soap,Aqua/Water/Eau  Sodium Coco-Sulfate  Glycerin  Coco-Glucoside  Sodium Cocoyl Isethionate  Sodium Chloride  Citric Acid  Sodium Benzoate  Potassium Sorbate  Sodium Carbonate  [[DISCLOSED FRAGRANCE]]**  **COMPONENTS: Beta-Caryophyllene  Cinnamonitrile  Methyldihydrojasmonate  Triethyl Citrate  Vanillin
"Purelygreat Cream Deodorant, Unscented Rating",Antiperspirant/Deodorant,: Sodium bicarbonate  Zea Mays (corn) starch  glycerin
"Everyone Hand Sanitizer Spray, Peppermint Citrus Rating",Hand Sanitizer,Active Ingredients: Ethanol 62% Inactive Ingredients: Purified Water  Citrus Aurantium Dulcis (Orange) Peel Oil  Lavandula Angustifolia (Lavender) Oil  Mentha Piperita (Peppermint) Oil  Vegetable Glycerin
"Carolina Castile Soap Gentle Castile Soap, Unscented Rating",Body Wash/Cleanser,Water (Aqua)  Olea Europaea Fruit Oil  Cocos Nucifera Oil  Potassium Hydroxide*  Theobroma Cacao (Cocoa) Seed Butter**  Aleurites Moluccana (Kukui Nut) Seed Oil  Citric Acid and Tocopherol (Vitamin E).
"Purelygreat Cream Deodorant, Citrus For Women Rating",Antiperspirant/Deodorant,: Sodium bicarbonate  Zea Mays (corn) starch  glycerin Essential oils: citrus paradisi  citrus sinensis  pelargonium graveolens  citrus aurantifolia  cupressus sempervirens  coriandrum sativum
