Product,Category,Ingredients
Crest 3 D White Whitening Therapy Fluoride Anticavity Toothpaste,Toothpaste,SODIUM FLOURIDE .243%  WATER  SORBITOL  HYDRATED SILICA  DISODIUM PYROPHOSPHATE  SODIUM LAURYL SULFATE  SODIUM HYDROXIDE  FLAVOR  CELLULOSE GUM  SODIUM SACCHARIN  MELALEUCA ALTERNIFOLIA (TEA TREE) LEAF OIL  CARBOMER  CHARCOAL POWDER  SUCRALOSE  POLYSORBATE 80  MICA  TITANIUM DIOXIDE
"Harris Teeter Alcohol Free Anticavity Fluoride Mouth Rinse, Refreshing",Mouthwash,Active Ingredients: Sodium fluoride (0.01% w/v fluoride ion) 0.02%; Inactive Ingredients: WATER  GLYCERIN  FLAVOR  CETYLPYRIDINIUM CHLORIDE  SODIUM SACCHARIN  PHOSPHORIC ACID  SODIUM BENZOATE  SUCRALOSE  POLOXAMER 407  BENZOIC ACID  DISODIUM PHOSPHATE  PROPYLENE GLYCOL  BLUE 1
Wish Advanced Hand Sanitizer (2020 formulation) Rating,Hand Sanitizer,Active Ingredients: ETHYL ALCOHOL 70.0%; Inactive Ingredients: WATER (AQUA)  TRIETHANOLAMINE  CARBOMER  ALOE BARBADENSIS (ALOE VERA) GEL  FRAGRANCE  GLYCERIN  PROPYLENE GLYCOL  TOCOPHERYL ACETATE (VITAMIN E).
"Modesa, Gentle Foaming Hand Soap, Pear (2020 formulation) Rating",Liquid Hand Soap,WATER (AQUA)  SODIUM LAURETH SULFATE  POLYQUATERNIUM 7  SODIUM LAURYL SULFATE  GLYCERIN  PARFUM (FRAGRANCE)  METHYLCHLOROISOTHIAZOLINONE  METHYLISOTHIAZOLINONE  CITRIC ACID  ALOE BARBADENSIS LEAF EXTRACT (ALOE VERA)  TOCOPHERYL ACETATE (VITAMIN E)  FD&C YELLOW 5 (CI 19140)  FD&C BLUE 1 (CI 42090).
Meijer Teeth Whitening Gel Refills (2020 formulation) Rating,Tooth Whitening,AQUA (WATER)  GLYCERIN  UREA PEROXIDE (CARBAMIDE)  XYLITOL  HYDROGEN PEROXIDE  TRIETHANOLAMINE  CARBOMER  MENTHA PIPERITA (PEPPERMINT) OIL  CITRIC ACID  ALOE BARBADENSIS LEAF JUICE  CALCIUM LACTATE  ZINC CHLORIDE  POTASSIUM CITRATE  MELIA AZADIRACHTA LEAF EXTRACT  DISODIUM EDTA.
"J.R. Watkins Liquid Hand Soap, Lemon Rating",Liquid Hand Soap,WATER/AQUA/EAU  SODIUM LAURYL SULFATE  COCAMIDOPROPYL BETAINE  SODIUM CHLORIDE  DECYL GLUCOSIDE  GLYCERIN  FRAGRANCE/PARFUM  CAPRYLYL/CAPRYL GLUCOSIDE  COCAMIDOPROPYL HYDROXYSULTAINE  MYRISTAMINE OXIDE  CITRIC ACID  GLUCONOLACTONE  SODIUM BENZOATE  METHYLISOTHIAZOLINONE  CALENDULA OFFICINALIS FLOWER EXTRACT  AVENA SATIVA (OAT) MEAL EXTRACT  TOCOPHEROLS (VITAMIN E)  ERGOCALCIFEROL (VITAMIN D2)  POTASSIUM SORBATE  CITRUS GRANDIS (GRAPEFRUIT) PEEL OIL
"Colgate Total Advanced Fresh & Whitening Toothpaste Gel, Fresh Rating",Tooth Whitening,WATER  HYDRATED SILICA  GLYCERIN  SORBITOL  FLAVOR  PVM/MA COPOLYMER  SODIUM LAURYL SULFATE  CELLULOSE GUM  SODIUM HYDROXIDE  PROPYLENE GLYCOL  CARRAGEENAN  SODIUM SACCHARIN  MICA  TITANIUM DIOXIDE  FD&C BLUE NO. 1  D&C YELLOW NO. 10
Kroger Clear Liquid Hand Soap Rating,Liquid Hand Soap,WATER (7732-18-5)  SODIUM LAURETH SULFATE 68585-34-2)  SODIUM CHLORIDE (7647-14-5)  GLYCERIN (56-81-5)  SODIUM LAUROYL LACTYLATE (13557-75-0)  COCAMIDOPROPYL BETAINE (61789-40-0)  SODIUM LAURYL SULFATE (68585-47-7)  FRAGRANCE (PROPRIETARY  SEE HTTP://WWW.IFRAFRAGRANCE.ORG)  BENZYL SALICYLATE (118-58-1)  METHYLCHLOROISOTHIAZOLINONE (26172-55-4)  METHYLISOTHIAZOLINONE (2682-20-4)  SODIUM HYDROXIDE (1310-73-2)  CITRIC ACID (77-92-9)  BLUE 1 (3844-45-9)  RED 33 (3567-66-6)
"Publix Liquid Hand Soap, Fresh scent (2018 formulation) Rating",Liquid Hand Soap,WATER  SODIUM LAURETH SULFATE  SODIUM CHLORIDE  GLYCERIN  SODIUM LAUROYL LACTYLATE  COCAMIDOPROPYL BETAINE  SODIUM LAURYL SULFATE  FRAGRANCE  METHYLCHLOROISOTHIAZOLINONE  METHYLISOTHIAZOLINONE  SODIUM HYDROXIDE  CITRIC ACID  BLUE 1  RED 33
Equate Apples & Cinnamon Stick Frosting Hand Sanitizer (2018 formulation),Hand Sanitizer,Active Ingredients: ETHYL ALCOHOL 62.0%; Inactive Ingredients: WATER  CARBOMER  FRAGRANCE  GLYCERIN  ISOPROPYL MYRISTATE  BLUE 1  RED 40  YELLOW 6
Crest Complete Whitening + Scope Minty Fresh Gel Toothpaste (2019,Toothpaste,Active Ingredients: Sodium Fluoride (0.15% W/V Fluoride Ion) 0.243%; Inactive Ingredients: SORBITOL  WATER  HYDRATED SILICA  DISODIUM PYROPHOSPHATE  SODIUM LAURYL SULFATE  FLAVOR  SODIUM HYDROXIDE  ALCOHOL (0.7%)  XANTHAN GUM  SODIUM SACCHARIN  GLYCERIN  CARBOMER  CELLULOSE GUM  POLYSORBATE 80  SODIUM BENZOATE  CETYLPYRIDINIUM CHLORIDE  BENZOIC ACID  BLUE 1  YELLOW 5
"Mrs. Meyer's Hand Soap, Daisy Rating",Liquid Hand Soap,WATER  COCAMIDOPROPYL HYDROXYSULTAINE  SODIUM METHYL 2-SULFOLAURATE  GLYCERIN  FRAGRANCE  (AMYL CINNAMAL  BENZYL BENZOATE  CITRAL  GERANIOL  LIMONENE  LINALOOL)  CITRUS GRANDIS (GRAPEFRUIT) PEEL OIL  CITRUS RETICULATA (MANDARIN) PEEL OIL  OLEA EUROPAEA (OLIVE) FRUIT OIL  ALOE BARBADENSIS LEAF JUICE  DISODIUM 2-SULFOLAURATE  CITRIC ACID  SODIUM CHLORIDE  POTASSIUM SORBATE  SODIUM BENZOATE
Old Spice Guitar Solo Deodorant (2018 formulation) Rating,Antiperspirant/Deodorant,DIPROPYLENE GLYCOL  WATER  PROPYLENE GLYCOL  SODIUM STEARATE  FRAGRANCE  PPG-3 MYRISTYL ETHER  TETRASODIUM EDTA  BLUE 1.
"Xtracare Signature Gentle Hand Soap, Lavender Vanilla (2018 formulation)",Liquid Hand Soap,WATER  SODIUM C14-16 OLEFIN SULFONATE  SODIUM LAURETH SULFATE  COCAMIDE MEA  SODIUM CHLORIDE  PEG-150 DISTEARATE  FRAGRANCE  CITRIC ACID  GLYCERIN  DISODIUM EDTA  ALOE BARBADENSIS LEAF JUICE  METHYLCHLOROISOTHIAZOLINONE  METHYLISOTHIAZOLINONE.
"Old Spice Deodorant, Clean & Crisp Scent (2019 formulation) Rating",Antiperspirant/Deodorant,": DIPROPYLENE GLYCOL 
WATER  PROPYLENE GLYCOL  SODIUM
STEARATE  FRAGRANCE  PPG-3 MYRISTYL
ETHER  TETRASODIUM EDTA  BLUE 1."
"Mrs. Meyer's Clean Day Hand Soap Made With Olive Oil & Aloe Vera,",Liquid Hand Soap,CONTAINS: WATER  COCAMIDOPROPYL HYDROXYSULTAINE  SODIUM METHYL 2-SULFOLAURATE  GLYCERIN  CITRUS AURANTIUM DULCIS (ORANGE) PEEL OIL  PINUS PALUSTRIS (PINE) OIL  FRAGRANCE  (LIMONENE)  OLEA EUROPAEA (OLIVE) FRUIT OIL  ALOE BARBADENSIS LEAF JUICE  DISODIUM 2-SULFOLAURATE  CITRIC ACID  SODIUM CHLORIDE  POTASSIUM SORBATE  SODIUM BENZOATE.
"Lifebuoy Hygiene Hand Wash, Mild Care Rating",Liquid Hand Soap,AQUA/WATER/EAU  SODIUM LAURETH SULFATE  COCAMIDOPROPYL BETAINE  GLYCERIN  SODIUM LAURYL SULFATE  LAURETH-7  SODIUM CHLORIDE  VACCINIUM MYRTILLUS FRUIT EXTRACT  SACCHARUM OFFICINARUM (SUGARCANE) EXTRACT  CITRIC ACID  FRAGRANCE (PARFUM)  CITRUS AURANTIUM DULCIS (ORANGE) FRUIT EXTRACT  CITRUS LIMON (LEMON) EXTRACT  ACER SACCHARUM (SUGAR MAPLE) EXTRACT  DISODIUM EDTA  SODIUM HYDROXIDE  METHYLCHLOROISOTHIAZOLINONE  METHYLISOTHIAZOLINONE  MAGNESIUM CHLORIDE  MAGNESIUM NITRATE.
Berkley Jensen Liquid Hand Soap Rating,Liquid Hand Soap,Active Ingredients: BENZALKONIUM CHLORIDE %; Inactive Ingredients: WATER/EAU (AQUA)  CETRIMONIUM CHLORIDE  COCAMIDOPROPYL BETAINE  PEG 40  FRAGRANCE/PARFUM  GLYCERINE  POLYQUATERNIUM 10  COCAMIDOPROPYL PG-DIMONIUM CHLORIDE  SODIUM CHLORIDE  BENZALKONIUM CHLORIDE  METHYLCHLOROISOTHIAZOLINONE  METHYLISOTHIAZOLINONE  CITRIC ACID  ALOE BARBADENSIS LEAF EXTRACT  TETRASODIUM EDTA
"Axe Fine Fragrance Collection Deodorant, Golden Mango Mandarin + Vetiver",Antiperspirant/Deodorant,WATER (AQUA)  DIPROPYLENEGLYCOL  PROPANEDIOL  GLYCERIN  SODIUM STEARATE  SILICA  ZEA MAYS (CORN) STARCH  POLYGLYCERYL-3 CAPRATE  FRAGRANCE  SACCHAROMYCES FERMENT  CITRUS GRANDIS (GRAPEFRUIT) SEED EXTRACT  SODIUM BICARBONATE  YELLOW 5 (CI 19140)  RED 4 (CI 14700)
"megababe Daily Deodorant, Sunny Pits Rating",Antiperspirant/Deodorant,PROPANEDIOL  WATER  ALOE BARBADENSIS LEAF JUICE  SODIUM STEARATE  ZEA MAYS (CORN) STARCH  GLYCERIN  FRAGRANCE  PHENOXYETHANOL  ETHYLHEXYLGLYCERIN  CITRIC ACID  POTASSIUM SORBATE  SODIUM BENZOATE  CAMELLIA SINENSIS (GREEN TEA) LEAF EXTRACT  COCOS NUCIFERA (COCONUT) OIL  SANTALUM ALBUM (SANDALWOOD) OIL  TOCOPHERYL ACETATE (VITAMIN E)  EQUISETUM ARVENSE (HORSETAIL PLANT) EXTRACT  SALVIA OFFICINALIS (SAGE) LEAF EXTRACTCITRUS GRANDIS (GRAPEFRUIT) FRUIT EXTRACT  CITRUS LIMON (LEMON) FRUIT EXTRACT.
"Secret Flawless Clear Gel Antiperspirant / Deodorant, Clean Powder Rating",Antiperspirant/Deodorant,"Active Ingredients: Aluminum zirconium octachlorohydrex
Gly 17.0% (anhydrous); Inactive Ingredients: WATER  ALCOHOL DENAT.  CYCLOPENTASILOXANE  PROPYLENE GLYCOL  DIMETHICONE  CALCIUM CHLORIDE  FRAGRANCE  PEG/PPG-18/18 DIMETHICONE"
"Xtreme, Antibacterial Hand Sanitizer Gel (2020 formulation) Rating",Hand Sanitizer,Active Ingredients: ETHYL ALCOHOL 70.0%; Inactive Ingredients: WATER  TRIETHANOLAMINE  CARBOMER  ALOE VERA GEL  FRAGRANCE  GLYCERIN  PROPYLENE GLYCOL  VITAMIN E
"Twice Oral Wellness Toothpaste, Cooling Spearmint Eucalyptus Rating",Toothpaste,Active Ingredients: Potassium nitrate 5.0%  Sodium Fluoride 0.24%; Inactive Ingredients: WATER  HYDRATED SILICA  SORBITOL  GLYCERIN (VEGETABLE)  PENTASODIUM TRIPHOSPHATE  COCAMIDOPROPYL BETAINE  FLAVOR  RETINYL PALMITATE (VITAMIN A)  TOCOPHEROL (VITAMIN E)  ALOE BARBADENSIS LEAF JUICE (ALOE VERA)  XYLITOL  SODIUM SACCHARIN  SUCRALOSE  LAURYL GLUCOSIDE  CELLULOSE GUM  TITANIUM DIOXIDE  SODIUM BENZOATE  CITRIC ACID.
"Aquafresh Multi Action Whitening Fluoride Toothpaste, Invigorating Mint",Toothpaste,Active Ingredients: Sodium Fluoride (0.15% W/V Fluoride Ion) 0.25%; Inactive Ingredients: WATER  HYDRATED SILICA  SORBITOL  GLYCERIN  PEG-8  SODIUM LAURYL SULFATE  XANTHAN GUM  FLAVOR  TITANIUM DIOXIDE  COCAMIDOPROPYL BETAINE  SODIUM CITRATE  SODIUM SACCHARIN  ZINC CHLORIDE  RED 30  BLUE 1
Primal Elements Fish in a Bag Soap (2020 formulation) Rating,Bath Oil/Salts/Soak,GLYCERIN  WATER  SODIUM STEARATE  PROPYLENE GLYCOL  SUCROSE  SORBITOL  SODIUM LAURATE  SODIUM LAURYL SULFATE  SODIUM CHLORIDE  SODIUM LAURYL SARCOSINATE  STEARIC ACID  LAURIC ACID  TETRASODIUM EDTA  PENTASODIUM PENTETATE  TETRASODIUM ETIDRONATE  FRAGRANCE
"Softsoap Liquid Hand Soap, Golden Apple Rating",Liquid Hand Soap,WATER/EAU  SODIUM C12-13 ALKETH SULFATE AND/OR ET/OU SODIUM LAURETH SULFATE  COCAMIDOPROPYL BETAINE  CITRIC ACID  SODIUM BENZOATE  SODIUM CHLORIDE  COCAMIDE MEA  FRAGRANCE/PARFUM  TETRASODIUM EDTA  POLYQUATERNIUM-7  BLUE 1  RED 33
"AXE Fresh 24 Hour Deodorant Stick, Anarchy Rating",Antiperspirant/Deodorant,PROPYLENE GLYCOL  WATER (AQUA)  SODIUM STEARATE  STEARETH-100  FRAGRANCE  OLETH-2  SODIUM HYDROXIDE  BLUE 1 (CI 42090)  YELLOW 5 (CI 19140)
Right Guard Original Sport Aerosol Deodorant Rating,Antiperspirant/Deodorant,ALCOHOL DENAT.  HYDROFLUOROCARBON 152A  PROPYLENE GLYCOL  GLYCOL  PARFUM (FRAGRANCE)  T-BUTYL ALCOHOL  POLYGLYCERYL-3 CAPRYLATE
"Equate Liquid Hand Soap, Water Lily (2019 formulation) Rating",Liquid Hand Soap,: WATER (7732-18-5)  SODIUM LAURETH SULFATE (68585-34-2)  SODIUM CHLORIDE (7647-14-5)  GLYCERIN (56-81-5)  SODIUM LAUROYL LACTYLATE (13557-75-0)  COCAMIDOPROPYL BETAINE (61789-40-0)  SODIUM LAURYL SULFATE (68585-47-7)  FRAGRANCE (PROPRIETARY  SEE HTTP://WWW.IFRAORG.ORG/)  LIMONENE (5989-27-5)  HYDROXYCITRONELLAL (107-75-5)  LINALOOL (78-70-6)  METHYLCHLOROISOTHIAZOLINONE (26172-55-4)  METHYLISOTHIAZOLINONE (2682-20-4)  SODIUM HYDROXIDE (1310-73-2)  CITRIC ACID (77-92-9)
"719 Walnut Avenue Foaming Hand Soap, Ocean Mist Rating",Liquid Hand Soap,WATER  SODIUM LAURETH SULFATE  FRAGRANCE  COCAMIDOPROPYL BETAINE  SODIUM LAURYL SULFATE  FRAGRANCE  CITRIC ACID  PEG-150 DISTEARATE  METHYLCHLOROISOTHIAZOLINONE  METHYLISOTHIAZOLINONE  FD&C BLUE NO. 1  FD&C YELLOW NO. 5
"Panrosa Instant Hand Sanitizer, Aloe Vera (2020 formulation) Rating",Hand Sanitizer,ACTIVE INGREDIENTS: ETHYL ALCOHOL 70%  INACTIVE INGREDIENTS: WATER  CARBOMER  TRIETHANOLAMINE  GLYCERIN  PROPYLENE GLYCOL  FRAGRANCE  ALOE BARBADENSIS LEAF JUICE  TOCOPHERYL ACETATE  FD&C BLUE NO. 1  FD&C YELLOW NO. 5.
Colgate Total Daily Repair Toothpaste Rating,Toothpaste,ACTIVE INGREDIETS: SODIUM FLUORIDE 0.24%  TRICLOSAN 0.30%  INACTIVE INGREDIENTS: WATER  HYDRATED SILICA  GLYCERIN  SORBITOL  PVM/MA COPOLYMER  SODIUM LAURYL SULFATE  CELLULOSE GUM  FLAVOR  SODIUM HYDROXIDE  PROPYLENE GLYCOL  CARRAGEENAN  SODIUM SACCHARIN  TITANIUM DIOXIDE
"Softsoap Sunsplash Lemon Hand Soap, Citrus Lemon Scent Rating",Liquid Hand Soap,WATER/EAU  SODIUM C12-13 PARETH SULFATE  COCAMIDOPROPYL BETAINE  CITRIC ACID  SODIUM BENZOATE  SODIUM CHLORIDE  COCAMIDE MEA  PROPYLENE GLYCOL  PARFUM/ FRAGRANCE  TETRASODIUM EDTA  POLYQUATERNIUM-7  PEG-60 HYDROGENATED CASTOR OIL  CAMELLIA SINENSIS LEAF EXTRACT  ZINGIBER OFFICINALE (GINGER) ROOT EXTRACT  EXT. VIOLET 2.
"Market Basket Liquid Hand Soap, Lavender and Chamomile Rating",Liquid Hand Soap,WATER  SODIUM LAURETH SULFATE  COCAMIDOPROPYL HYDROXYSULTAINE  COCAMIDOPROPYL BETAINE  SODIUM CHLORIDE  FRAGRANCE  ALOE BARBADENSIS LEAF JUICE  PHENOXYETHANOL  BENZOIC ACID  ETHYLHEXYLGLYCERIN  GLYCERETH-2 COCOATE  RED 33  BLUE 1
Up & Up Hand Sanitizer With Aloe Rating,Hand Sanitizer,Active Ingredients: Ethyl alcohol 62.0%; Inactive Ingredients: WATER  CARBOMER  FRAGRANCE  GLYCERIN  ISOPROPYL MYRISTATE  ALOE BARBADENSIS LEAF JUICE  TOCOPHERYL ACETATE  BLUE 1  YELLOW 5
"Softsoap Exfoliating Hand Soap, Cooling Eucalyptus & Sea Salt Rating",Liquid Hand Soap,WATER/EAU  SODIUM C12-13 ALKETH SULFATE AND/OR SODIUM LAURETH SULFATE  GLYCERIN  COCAMIDOPROPYL BETAINE  ACRYLATES CROSSPOLYMER-4  CITRIC ACID  CASTORYL MALEATE  FRAGRANCE/PARFUM  SODIUM BENZOATE  LAURETH-4  GLYCOL DISTEARATE  CELLULOSE  MICROCRYSTALLINE CELLULOSE  SODIUM HYDROXIDE  MENTHYL LACTATE  PRUNUS ARMENIACA (APRICOT) SEED POWDER  SODIUM CHLORIDE  TETRASODIUM EDTA  SEA SALT/SEL MARIN  EUCALYPTUS OIL  BLUE 1
Crest Sensitivity Whitening Plus Scope Toothpaste (2019 formulation),Toothpaste,Active Ingredients: Potassium Nitrate 5.0%  Sodium Fluoride (0.14% W/V Fluoride Ion) 0.243%; Inactive Ingredients: WATER  HYDRATED SILICA  GLYCERIN  SORBITOL  TRISODIUM PHOSPHATE  SODIUM LAURYL SULFATE  FLAVOR  CELLULOSE GUM  ALCOHOL (1.09%)  XANTHAN GUM  SODIUM SACCHARIN  POLYSORBATE 80  SODIUM BENZOATE  CETYLPYRIDINIUM CHLORIDE  BENZOIC ACID  TITANIUM DIOXIDE  BLUE 1
"Act Kids Anticavity Fluoride Rinse, Bubblegum Blowout (2020 formulation)",Mouthwash,ACTIVE INGREDIENTS: SODIUM FLUORIDE 0.05%  INACTIVE INGREDIENTS: BENZYL ALCOHOL  CALCIUM DISODIUM EDTA  CETYLPYRIDINIUM CHLORIDE  DISODIUM PHOSPHATE  FLAVOR  POLOXAMER 407  POLYSORBATE 80  PROPYLENE GLYCOL  RED 33  SODIUM BENZOATE  SODIUM PHOSPHATE  SODIUM SACCHARIN  SORBITOL  WATER
"Wet Ones, Antibacterial Hand Wipe, Fruity Fresh Rating",Hand Sanitizer,Active Ingredients: Benzethonium Chloride 0.13%; Inactive Ingredients: WATER  ALCOHOL DENAT.  PHENOXYETHANOL  PEG-8 DIMETHICONE  CAPRYLYL GLYCOL  DIHYDROXYPROPYL PEG-5 LINOLEAMMONIUM CHLORIDE  POTASSIUM SORBATE  DISODIUM EDTA  CITRIC ACID  FRAGRANCE  ALOE BARBADENSIS LEAF JUICE
"Axe Dark Temptation Deodorant, Dark Chocolate Rating",Antiperspirant/Deodorant,PROPYLENE GLYCOL  WATER (AQUA)  SODIUM STEARATE  STEARETH-100  FRAGRANCE (PARFUM)  OLETH-2  SODIUM HYDROXIDE  BLUE 1 (CI 42090)  YELLOW 5 (CI 19140).
Arm & Hammer Truly Radiant Rejuvenating Fresh Mint Twist Fluoride,Toothpaste,Active Ingredients: Sodium Fluoride 0.243%; Inactive Ingredients: SODIUM BICARBONATE (BAKING SODA)  HYDRATED SILICA  SORBITOL  WATER  GLYCERIN  TETRASODIUM PYROPHOSPHATE  SODIUM LAUROYL SARCOSINATE  FLAVOR  SODIUM SACCHARIN  CELLULOSE GUM  SODIUM LAURYL SULFATE  MICA  TITANIUM DIOXIDE  BLUE 1  YELLOW 5
"Colgate Total Advanced Pro Shield 12HR Protection Mouthwash, Spearmint",Mouthwash,WATER  GLYCERIN  PROPYLENE GLYCOL  SORBITOL  POLOXAMER 407  FLAVOR  POTASSIUM SORBATE  SODIUM SACCHARIN  CITRIC ACID  SUCRALOSE  FD&C GREEN NO. 3  FD&C YELLOW NO. 6
Smart Care Advanced Hand Sanitizer original with aloe vera Rating,Hand Sanitizer,Active Ingredients: ETHYL ALCOHOL 70.0%; Inactive Ingredients:  INACTIVE INGREDIENTS: WATER (AQUA)  ISOPROPYL ALCOHOL  GLYCERIN  CARBOMER  AMINOMETHYL PROPANOL  FRAGRANCE  PROPYLENE GLYCOL  ISOPROPYL MYRISTATE  ALOE BARBADENSIS LEAF JUICE  TOCOPHERYL ACETATE
"Spa Soap Moisturizing Hand Soap, Lavender Fields Rating",Liquid Hand Soap,WATER (AQUA)  SODIUM LAURETH SULFATE  SODIUM CHLORIDE  FRAGRANCE (PARFUM)  CITRIC ACID  GLYCERIN  METHYLCHLOROISOTHIAZOLINONE  METHYLISOTHIAZOLINONE  ALOE BARBADENSIS LEAF EXTRACT  LAVANDULA ANGUSTIFOLIA (LAVENDER) FLOWER EXTRACT  RED 33 (CI 17200)  BLUE 1 (CI 42090).
"Old Spice Aluminum Free Deodorant, Raptorstrike Rating",Antiperspirant/Deodorant,DIPROPYLENE GLYCOL  WATER  PROPYLENE GLYCOL  SODIUM STEARATE  POLOXAMINE 1307  FRAGRANCE  PPG-3 MYRISTYL ETHER  TETRASODIUM EDTA  BLUE 1
"Crayola Moisturizing Hand & Body Foam Soap, Berry Blast Rating",Body Wash/Cleanser,WATER  COCAMIDOPROPYL BETAINE  SODIUM LAURETH SULFATE  GLYCERIN  PHENOXYETHANOL  CITRIC ACID  SODIUM BENZOATE  FRAGRANCE  HYDROGENATED CASTOR OIL  BLUE 1
Smartly Liquid Hand Soap Refill (2020 formulation) Rating,Liquid Hand Soap,WATER  SODIUM LAURETH SULFATE  SODIUM CHLORIDE  GLYCERIN  SODIUM LAUROYL LACTYLATE  COCAMIDOPROPYL BETAINE  SODIUM LAURYL SULFATE  FRAGRANCE  METHYLCHLOROISOTHIAZOLINONE  METHYLISOTHIAZOLINONE  SODIUM HYDROXIDE  CITRIC ACID  RED 40  YELLOW 5
"Dove Antiperspirant & Deodorant, Original Clean (2020 formulation) Rating",Antiperspirant/Deodorant,Active Ingredients: Aluminum Chlorohydrate 20.0%; Inactive Ingredients: CYCLOPENTASILOXANE  ISOPROPYL PALMITATE  STEARYL ALCOHOL  MINERAL OIL  TALC  HYDROGENATED CASTOR OIL  FRAGRANCE (PARFUM)  HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL  STEARETH-100  BHT.
"Sensodyne Pronamel Active Shield Whitening Toothpaste, Cool Mint Rating",Toothpaste,Active Ingredients: Potassium nitrate 5.0%  Sodium fluoride (0.15% w/v fluoride ion) 0.25%; Inactive Ingredients: WATER  SORBITOL  HYDRATED SILICA  GLYCERIN  PEG-8  SODIUM LACTATE  FLAVOR  XANTHAN GUM  COCAMIDOPROPYL BETAINE  SODIUM METHYL COCOYL TAURATE  TITANIUM DIOXIDE  SODIUM SACCHARIN  PVM/MA COPOLYMER  SODIUM HYDROXIDE
"Great Lakes Luxury Hand Soap, Lilac Breeze Rating",Liquid Hand Soap,WATER  SODIUM LAURETH SULFATE  SODIUM CHLORIDE  COCOAMIDOPROPYL BETAINE  COCAMIDE METHYL MEA  FRAGRANCE  DISODIUM EDTA  CITRIC ACID  METHYLCHLOROISOTHIAZOLINONE  METHYLISOTHIAZOLINONE  FD&C BLUE NO.1  D&C RED NO.33
"Provence Sante Liquid Soap, Linden Rating",Liquid Hand Soap,Water  Sodium Laureth Sulfate  Cocamidopropyl Betaine  Glycerin  Polysorbate 80  Sodium Chloride  Laureth 2  Glyceryl Oleate  Lauryl Glucoside  Fragrance  PEG 7 Glyceryl Cocoate  Sweet Almond Oil  Methylchloroisothiazolinone  Methylisothiazolinone  Sodium Hydroxide (may contain)  Citric Acid (may contain)
Axe Fine Fragrance Collection Pure Coconut Eucalyptus + Oak Premium Body,Antiperspirant/Deodorant,ALCOHOL DENAT.  HYDROFLUOROCARBON 152A  BUTANE  ISOBUTANE  ZINC NEODECANOATE  FRAGRANCE  PROPANE
"Speed Stick Deodorant, Ocean Surf (2019 formulation) Rating",Antiperspirant/Deodorant,PROPYLENE GLYCOL  WATER  SODIUM STEARATE  FRAGRANCE  SODIUM CHLORIDE  STEARYL ALCOHOL  FD&C BLUE NO.1  EXT. D&C VIOLET NO. 2
"Softsoap Soothing Clean Moisturizing Hand Soap, Aloe Vera Fresh Scent",Liquid Hand Soap,WATER  SODIUM C12-13 PARETH SULFATE  COCAMIDOPROPYL BETAINE  GLYCOL STEARATE  SODIUM CHLORIDE  COCAMIDE MEA  SODIUM SALICYLATE  SODIUM BENZOATE  CITRIC ACID  PARFUM/FRAGRANCE  POLYQUATERNIUM-7  TETRASODIUM EDTA  ALOE BARBADENSIS LEAF JUICE  GLYCOL DISTEARATE  LAURETH-4  POLOXAMER 124  PEG-120 METHYL GLUCOSE DIOLEATE  YELLOW 5  RED 33.
Sensodyne Pronamel Active Shield Fresh Mint Toothpaste Rating,Toothpaste,Active Ingredients: Potassium Nitrate 5.0%  Sodium Fluoride (0.15% w/v Fluoride Ion) 0.25%; Inactive Ingredients: INACTIVE INGREDIENTS: WATER  SORBITOL  HYDRATED SILICA  GLYCERIN  PEG-8  SODIUM LACTATE  FLAVOR  XANTHAN GUM  COCAMIDOPROPYL BETAINE  SODIUM METHYL COCOYL TAURATE  TITANIUM DIOXIDE  SODIUM SACCHARIN  PVM/MA COPOLYMER  SODIUM HYDROXIDE
Softsoap Milk & Golden Honey Moisturizing Hand Soap (2019 formulation),Liquid Hand Soap,WATER  SODIUM LAURETH SULFATE  COCAMIDOPROPYL BETAINE  GLYCOL STEARATE  SODIUM CHLORIDE  COCAMIDE MEA  SODIUM SALICYLATE  SODIUM BENZOATE  FRAGRANCE  POLYQUATERNIUM-7  CITRIC ACID  TETRASODIUM EDTA  POLOXAMER 124  GLYCOL DISTEARATE  LAURETH-4  PEG-120 METHYL GLUCOSE DIOLEATE  LACTOSE  HONEY  MILK PROTEIN  YELLOW 10  RED 40
"Safeguard, Hydrating Hand Soap, Ocean Breeze Rating",Liquid Hand Soap,WATER  SODIUM LAURETH SULFATE  COCAMIDOPROPYL BETAINE  SODIUM CHLORIDE  FRAGRANCE  SODIUM CITRATE  SODIUM XYLENESULFONATE  SODIUM BENZOATE  CITRIC ACID  DISODIUM EDTA  METHYLCHLOROISOTHIAZOLINONE  METHYLISOTHIAZOLINONE  BLUE 1  RED 33
"Daylogic Liquid Hand Soap, Clear Rating",Liquid Hand Soap,WATER  SODIUM LAURETH SULFATE  SODIUM CHLORIDE  GLYCERIN  SODIUM LAUROYL LACTYLATE  COCAMIDOPROPYL BETAINE  SODIUM LAURYL SULFATE  FRAGRANCE  BENZYL SALICYLATE  METHYLCHLOROISOTHIAZOLINONE  METHYLISOTHIAZOLINONE  SODIUM HYDROXIDE  CITRIC ACID  BLUE 1  RED 33
